"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","4","16","Avoid unused imports such as 'java.net.UnknownHostException'","Type Resolution Rules","UnusedImports"
"2","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","4","16","Avoid unused imports such as 'java.net.UnknownHostException'","Type Resolution Rules","UnusedImports"
"3","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","4","17","Avoid unused imports such as 'com.google.gson.Gson'","Type Resolution Rules","UnusedImports"
"4","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","4","17","Avoid unused imports such as 'com.google.gson.Gson'","Type Resolution Rules","UnusedImports"
"5","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","25","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","25","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","29","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","2","30","System.out.print is used","Java Logging Rules","SystemPrintln"
"9","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","37","Parameter 'req' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","37","Parameter 'res' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","3","40","Local variable 'out' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","5","42","Found 'DD'-anomaly for variable 'result' (lines '42'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"13","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","5","42","Found 'DD'-anomaly for variable 'result' (lines '42'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"14","com.rl.clinicalcloud.servlets","src/main/java/com/rl/clinicalcloud/servlets/AjaxServlet.java","5","42","Found 'DD'-anomaly for variable 'result' (lines '42'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
